epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,214.188,1.85206,2.58414,1.91493,0.2232,0.16838,0.09091,0.03307,2.43079,3.10772,2.37705,0.000665483,0.000665483,0.000665483
2,428.136,1.89832,2.00468,1.95283,0.50599,0.41369,0.40262,0.17032,2.0784,2.06613,1.97357,0.00120027,0.00120027,0.00120027
3,638.494,1.84676,1.87113,1.9236,0.44331,0.38,0.35163,0.14999,2.0158,2.1233,1.93924,0.00160305,0.00160305,0.00160305
4,849.204,1.80806,1.78129,1.87602,0.56619,0.4907,0.49161,0.21373,1.87133,1.7546,1.81479,0.001406,0.001406,0.001406
5,1059.45,1.74199,1.66226,1.81193,0.60884,0.48601,0.53104,0.22963,1.89819,1.68361,1.80388,0.001208,0.001208,0.001208
6,1269.85,1.69195,1.57572,1.78057,0.66966,0.53846,0.60885,0.29763,1.77152,1.49949,1.715,0.00101,0.00101,0.00101
7,1480.35,1.65422,1.50327,1.73837,0.69789,0.55834,0.6274,0.30637,1.74746,1.43091,1.68083,0.000812,0.000812,0.000812
8,1690.59,1.60592,1.42775,1.70554,0.73502,0.56508,0.65094,0.331,1.70736,1.37753,1.65277,0.000614,0.000614,0.000614
9,1900.48,1.56368,1.36644,1.6677,0.73069,0.58117,0.66322,0.34544,1.65327,1.35062,1.61645,0.000416,0.000416,0.000416
10,2110.71,1.51535,1.30995,1.6285,0.74278,0.59293,0.68319,0.36109,1.62795,1.29073,1.58899,0.000218,0.000218,0.000218
